fips,year,laborfc,employed,unemplvl,unemprate
1001,2015,25652,24321,1331,5.2
1003,2015,87872,83010,4862,5.5
1005,2015,8625,7860,765,8.9
1007,2015,8589,8021,568,6.6
1009,2015,24521,23198,1323,5.4
1011,2015,4785,4406,379,7.9
1013,2015,9151,8457,694,7.6
1015,2015,45995,42764,3231,7
1017,2015,15002,14097,905,6
1019,2015,11179,10570,609,5.4
1021,2015,19171,18090,1081,5.6
1023,2015,4386,3988,398,9.1
1025,2015,8006,7068,938,11.7
1027,2015,5559,5219,340,6.1
1029,2015,5688,5346,342,6
1031,2015,20309,19100,1209,6
1033,2015,23647,21776,1871,7.9
1035,2015,4690,4258,432,9.199999999999999
1037,2015,4434,4138,296,6.7
1039,2015,15487,14382,1105,7.1
1041,2015,6367,5986,381,6
1043,2015,36456,34541,1915,5.3
1045,2015,19875,18612,1263,6.4
1047,2015,15617,14122,1495,9.6
1049,2015,28822,27076,1746,6.1
1051,2015,36814,34967,1847,5
1053,2015,14624,13598,1026,7
1055,2015,42767,40126,2641,6.2
1057,2015,6434,5983,451,7
1059,2015,13687,12807,880,6.4
1061,2015,10807,10168,639,5.9
1063,2015,2883,2564,319,11.1
1065,2015,6058,5588,470,7.8
1067,2015,6729,6272,457,6.8
1069,2015,44627,41850,2777,6.2
1071,2015,23506,21944,1562,6.6
1073,2015,311481,293544,17937,5.8
1075,2015,5626,5271,355,6.3
1077,2015,42725,39766,2959,6.9
1079,2015,13698,12641,1057,7.7
1081,2015,70996,67274,3722,5.2
1083,2015,40022,37833,2189,5.5
1085,2015,3834,3392,442,11.5
1087,2015,7983,7341,642,8
1089,2015,171217,161839,9378,5.5
1091,2015,7419,6853,566,7.6
1093,2015,12506,11638,868,6.9
1095,2015,40466,38126,2340,5.8
1097,2015,187264,174405,12859,6.9
1099,2015,7353,6614,739,10.1
1101,2015,105246,98841,6405,6.1
1103,2015,55016,51781,3235,5.9
1105,2015,3491,3143,348,10
1107,2015,8022,7480,542,6.8
1109,2015,14967,13984,983,6.6
1111,2015,9451,8894,557,5.9
1113,2015,24152,22720,1432,5.9
1115,2015,38638,36625,2013,5.2
1117,2015,108408,103851,4557,4.2
1119,2015,5117,4709,408,8
1121,2015,35198,32890,2308,6.6
1123,2015,18776,17633,1143,6.1
1125,2015,99051,93669,5382,5.4
1127,2015,25610,23762,1848,7.2
1129,2015,6711,6114,597,8.9
1131,2015,2829,2415,414,14.6
1133,2015,9393,8686,707,7.5
2013,2015,2475,2396,79,3.2
2016,2015,4065,3908,157,3.9
2020,2015,156755,148856,7899,5
2050,2015,7363,6304,1059,14.4
2060,2015,382,346,36,9.4
2068,2015,1071,977,94,8.800000000000001
2070,2015,2040,1843,197,9.699999999999999
2090,2015,46396,43863,2533,5.5
2100,2015,1087,980,107,9.800000000000001
2105,2015,1134,962,172,15.2
2110,2015,17090,16284,806,4.7
2122,2015,27633,25472,2161,7.8
2130,2015,6964,6484,480,6.9
2150,2015,6620,6301,319,4.8
2158,2015,2809,2160,649,23.1
2164,2015,646,565,81,12.5
2170,2015,46183,42634,3549,7.7
2180,2015,4083,3596,487,11.9
2185,2015,4305,4059,246,5.7
2188,2015,2910,2444,466,16
2195,2015,1494,1361,133,8.9
2198,2015,2763,2415,348,12.6
2220,2015,4601,4389,212,4.6
2230,2015,812,718,94,11.6
2240,2015,3009,2688,321,10.7
2261,2015,4881,4458,423,8.699999999999999
2275,2015,1031,950,81,7.9
2282,2015,259,237,22,8.5
2290,2015,2411,1968,443,18.4
4001,2015,20589,17854,2735,13.3
4003,2015,50257,46600,3657,7.3
4005,2015,73189,68434,4755,6.5
4007,2015,21181,19512,1669,7.9
4009,2015,14496,13432,1064,7.3
4011,2015,4042,3722,320,7.9
4012,2015,8163,7555,608,7.4
4013,2015,2020413,1916900,103513,5.1
4015,2015,79480,73176,6304,7.9
4017,2015,40659,36734,3925,9.699999999999999
4019,2015,464811,439360,25451,5.5
4021,2015,157022,147161,9861,6.3
4023,2015,19852,17578,2274,11.5
4025,2015,96111,90721,5390,5.6
4027,2015,93568,73279,20289,21.7
5001,2015,9477,9082,395,4.2
5003,2015,8350,7720,630,7.5
5005,2015,16192,15306,886,5.5
5007,2015,121607,117035,4572,3.8
5009,2015,15814,15046,768,4.9
5011,2015,4551,4286,265,5.8
5013,2015,2415,2285,130,5.4
5015,2015,12635,12059,576,4.6
5017,2015,3722,3385,337,9.1
5019,2015,9606,9084,522,5.4
5021,2015,6286,5872,414,6.6
5023,2015,9601,8937,664,6.9
5025,2015,3352,3163,189,5.6
5027,2015,9543,8922,621,6.5
5029,2015,8631,8107,524,6.1
5031,2015,50907,48657,2250,4.4
5033,2015,26802,25414,1388,5.2
5035,2015,21379,20066,1313,6.1
5037,2015,8088,7651,437,5.4
5039,2015,2969,2763,206,6.9
5041,2015,5547,5144,403,7.3
5043,2015,8069,7518,551,6.8
5045,2015,59799,57020,2779,4.6
5047,2015,7399,7034,365,4.9
5049,2015,4751,4504,247,5.2
5051,2015,39876,37701,2175,5.5
5053,2015,8243,7869,374,4.5
5055,2015,19917,18887,1030,5.2
5057,2015,9907,9421,486,4.9
5059,2015,14175,13463,712,5
5061,2015,6072,5817,255,4.2
5063,2015,15644,14635,1009,6.4
5065,2015,4971,4643,328,6.6
5067,2015,6177,5713,464,7.5
5069,2015,28718,26696,2022,7
5071,2015,10385,9790,595,5.7
5073,2015,2644,2445,199,7.5
5075,2015,7034,6612,422,6
5077,2015,3175,2964,211,6.6
5079,2015,4119,3866,253,6.1
5081,2015,5584,5280,304,5.4
5083,2015,9150,8625,525,5.7
5085,2015,32939,31561,1378,4.2
5087,2015,7070,6798,272,3.8
5089,2015,6513,6176,337,5.2
5091,2015,19874,18882,992,5
5093,2015,18310,16663,1647,9
5095,2015,2969,2790,179,6
5097,2015,3253,3034,219,6.7
5099,2015,3653,3472,181,5
5101,2015,3388,3224,164,4.8
5103,2015,9921,9296,625,6.3
5105,2015,4194,3937,257,6.1
5107,2015,6983,6455,528,7.6
5109,2015,4207,3961,246,5.8
5111,2015,10046,9485,561,5.6
5113,2015,8313,7834,479,5.8
5115,2015,29710,28147,1563,5.3
5117,2015,3722,3548,174,4.7
